<?xml version="1.0" encoding="ISO-8859-1"?>
<EquipmentSets>
   <EquipmentSet id="Phylactery Mystic Set">
      <Setpiece slot="0" itemtype="0xcbc">Equipment</Setpiece>
      <Setpiece slot="1" itemtype="0xcbd">Equipment</Setpiece>
      <Setpiece slot="2" itemtype="0xcbe">Equipment</Setpiece>
      <Setpiece slot="3" itemtype="0xcbf">Equipment</Setpiece>
      <!-- <ActivateOnEquipAll skinType="0x745B" size="70" color="0x92A9BA" bulletType="Soul Vortex">ChangeSkin</ActivateOnEquipAll> -->
      <ActivateOnEquipAll required="4" stat="0" amount="150">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="1" amount="40">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="2" amount="5">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="3" amount="10">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="4" amount="1">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="5" amount="20">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="6" amount="5">IncrementStat</ActivateOnEquipAll>
	  <UniqueEffect required="4">Phylac</UniqueEffect>
   </EquipmentSet>
   <EquipmentSet id="Goo Huntress">
      <Setpiece slot="1" itemtype="0x5257">Equipment</Setpiece>
      <Setpiece slot="2" itemtype="0x5256">Equipment</Setpiece>
      <Setpiece slot="3" itemtype="0xcd0">Equipment</Setpiece>
      <ActivateOnEquipAll required="2" stat="0" amount="50">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="3" stat="0" amount="50">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="2" stat="1" amount="5">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="3" stat="1" amount="5">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="2" stat="2" amount="10">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="3" stat="2" amount="10">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="3" stat="3" amount="10">IncrementStat</ActivateOnEquipAll>

      <ActivateOnEquipAll required="2" stat="6" amount="10">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="3" stat="6" amount="15">IncrementStat</ActivateOnEquipAll>

      <ActivateOnEquipAll required="2" stat="4" amount="-10">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="3" stat="4" amount="-10">IncrementStat</ActivateOnEquipAll>

      <ActivateOnEquipAll required="3" stat="8" amount="7">IncrementStat</ActivateOnEquipAll>
   </EquipmentSet>
   <EquipmentSet id="Hylian Set">
      <Setpiece slot="1" itemtype="0x1668">Equipment</Setpiece>
      <Setpiece slot="2" itemtype="0x1669">Equipment</Setpiece>
      <Setpiece slot="3" itemtype="0x166a">Equipment</Setpiece>
      <Setpiece slot="4" itemtype="0x166b">Equipment</Setpiece>

      <ActivateOnEquipAll required="2" stat="3" amount="5">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="2" stat="0" amount="25">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="2" stat="1" amount="25">IncrementStat</ActivateOnEquipAll>

      <ActivateOnEquipAll required="3" stat="3" amount="5">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="3" stat="0" amount="25">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="3" stat="1" amount="25">IncrementStat</ActivateOnEquipAll>

      <ActivateOnEquipAll required="4" stat="3" amount="5">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="0" amount="25">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="1" amount="25">IncrementStat</ActivateOnEquipAll>
      <ActivateOnEquipAll required="4" stat="9" amount="5">IncrementStat</ActivateOnEquipAll>
   </EquipmentSet>
</EquipmentSets>
